3,1,3,0.15,B,B,B,B,B,B,B,B,B,B
3,1,3,0.30,B,B,B,B,B,B,B,B,B,B
3,1,3,0.45,B,B,B,B,B,B,B,B,B,B
3,1,3,1.00,B,B,B,B,B,B,B,B,B,B
3,1,3,1.15,B,B,B,B,B,B,B,B,B,B
3,1,3,1.30,B,B,B,B,B,B,B,B,B,B
3,1,3,1.45,B,B,B,B,B,B,B,B,B,B
3,1,3,2.00,B,B,B,B,B,B,B,B,B,B
3,1,3,10.15,B,B,Y,B,Y,Y,Y,Y,B,B
3,1,3,10.30,B,B,B,B,B,B,B,Y,B,B
3,1,3,10.45,B,B,B,B,Y,B,B,Y,B,B
3,1,3,11.00,B,B,B,B,Y,B,B,Y,B,B
3,1,3,11.15,B,B,Y,B,Y,B,B,Y,Y,Y
3,1,3,11.30,B,B,B,B,B,B,B,Y,Y,Y
3,1,3,11.45,B,B,B,B,B,B,Y,Y,Y,Y
3,1,3,12.00,Y,B,Y,Y,Y,B,Y,Y,Y,Y
3,1,3,12.15,Y,B,B,B,B,B,Y,Y,Y,Y
3,1,3,12.30,B,B,Y,B,B,B,Y,Y,Y,Y
3,1,3,12.45,Y,B,B,B,B,B,Y,R,Y,Y
3,1,3,13.00,Y,B,Y,Y,Y,Y,Y,R,Y,Y
3,1,3,13.15,Y,B,B,B,B,B,Y,R,Y,Y
3,1,3,13.30,B,B,B,B,Y,Y,Y,Y,Y,Y
3,1,3,13.45,B,B,B,B,B,B,Y,Y,Y,Y
3,1,3,14.00,B,B,B,B,B,B,B,Y,Y,Y
3,1,3,14.15,Y,B,B,B,Y,Y,B,Y,Y,Y
3,1,3,14.30,Y,B,B,B,B,B,B,Y,Y,Y
3,1,3,14.45,Y,B,Y,B,B,B,Y,Y,Y,Y
3,1,3,15.00,Y,B,B,B,B,B,B,Y,Y,Y
3,1,3,15.15,Y,B,Y,Y,Y,Y,Y,Y,Y,Y
3,1,3,15.30,Y,B,B,B,B,B,Y,Y,Y,Y
3,1,3,15.45,Y,B,B,B,B,B,Y,Y,Y,Y
3,1,3,16.00,Y,B,B,B,B,B,Y,Y,Y,Y
3,1,3,16.15,B,B,B,B,B,B,Y,Y,Y,Y
3,1,3,16.30,B,B,B,B,B,B,Y,Y,Y,Y
3,1,3,16.45,Y,B,B,B,B,B,Y,Y,Y,Y
3,1,3,17.00,Y,B,B,B,Y,B,Y,Y,Y,Y
3,1,3,17.15,Y,B,Y,Y,Y,B,Y,Y,Y,Y
3,1,3,17.30,Y,B,Y,Y,Y,B,Y,Y,Y,Y
3,1,3,17.45,Y,B,Y,Y,Y,B,Y,Y,Y,Y
3,1,3,18.00,Y,B,Y,Y,Y,Y,Y,Y,Y,Y
3,1,3,18.15,Y,B,Y,Y,Y,B,Y,Y,Y,Y
3,1,3,18.30,Y,B,Y,Y,Y,Y,Y,Y,Y,Y
3,1,3,18.45,Y,B,Y,Y,Y,Y,Y,R,Y,Y
3,1,3,19.00,Y,B,Y,Y,Y,Y,Y,R,Y,Y
3,1,3,19.15,Y,B,Y,Y,Y,Y,Y,R,Y,Y
3,1,3,19.30,Y,B,R,Y,Y,Y,Y,R,Y,Y
3,1,3,19.45,Y,B,Y,Y,Y,Y,Y,R,Y,Y
